Time,Unsmoothed Fres,Temp,Fres
1277,1785.74,19.34,1781.527333333333
1279,1780.58,19.25,1781.385333333333
1281,1779.65,19.34,1781.3799999999999
1283,1776.72,19.3,1780.9933333333336
1285,1783.26,19.31,1781.1293333333335
1287,1780.86,19.23,1781.1400000000003
1289,1782.56,19.3,1781.1926666666668
1291,1782.39,19.31,1781.2273333333337
1294,1784.38,19.3,1781.4160000000002
1296,1780.38,19.3,1781.4513333333334
1298,1780.49,19.26,1781.5159999999998
1300,1782.03,19.36,1781.7246666666665
1302,1780.16,19.25,1781.4806666666666
1304,1782.78,19.25,1781.5059999999999
1306,1780.43,19.3,1781.494
1308,1781.23,19.42,1781.1933333333332
1310,1779.53,19.26,1781.1233333333332
1312,1779.92,19.32,1781.1413333333333
1314,1781.91,19.28,1781.4873333333335
1316,1781.27,19.34,1781.3546666666668
1318,1782.21,19.29,1781.4446666666668
1320,1782.58,19.28,1781.4460000000004
1322,1781.79,19.33,1781.406
1325,1780.67,19.26,1781.158666666667
1326,1781.36,19.27,1781.2240000000002
1328,1782.65,19.28,1781.368
1330,1782.13,19.29,1781.3746666666668
1332,1780.42,19.37,1781.392
1334,1780.96,19.34,1781.2706666666666
1336,1782.15,19.25,1781.3853333333332
1338,1781.86,19.27,1781.427333333333
1340,1782.53,19.2,1781.6273333333334
1342,1781.4,19.31,1781.7259999999999
1345,1785.93,19.39,1781.994
1347,1782.94,19.25,1782.1053333333334
1349,1782.36,19.32,1782.1153333333336
1351,1785.39,19.27,1782.3026666666667
1353,1783.21,19.33,1782.3973333333333
1355,1782.34,19.28,1782.5086666666666
1357,1782.4,19.3,1782.578
1359,1780.15,19.23,1782.4113333333335
1361,1779.53,19.19,1782.238
1363,1782.88,19.27,1782.402
1365,1781.53,19.31,1782.44
1367,1782.6,19.19,1782.47
1369,1784.9,19.35,1782.6726666666666
1371,1782.31,19.29,1782.6580000000001
1373,1784.07,19.28,1782.8360000000002
1375,1780.73,19.25,1782.4893333333337
1377,1781.64,19.23,1782.4026666666668
1379,1781.51,19.2,1782.346
1381,1781.39,19.32,1782.0793333333331
1383,1779.94,19.28,1781.8613333333333
1385,1784.63,19.22,1782.0140000000001
1387,1781.31,19.25,1781.9413333333332
1389,1779.82,19.25,1781.919333333333
1391,1780.65,19.2,1781.9939999999997
1393,1779.17,19.24,1781.7466666666664
1396,1782.05,19.25,1781.781333333333
1398,1781.17,19.25,1781.6859999999997
1400,1782.75,19.29,1781.5426666666663
1402,1782.84,19.31,1781.578
1404,1780.0,19.22,1781.3066666666666
1406,1781.5,19.25,1781.3580000000002
1408,1782.39,19.15,1781.4080000000001
1410,1780.82,19.21,1781.362
1412,1782.31,19.33,1781.4233333333334
1414,1781.51,19.37,1781.528
1416,1783.28,19.34,1781.438
1418,1780.03,19.31,1781.352666666667
1420,1782.44,19.33,1781.5273333333334
1422,1782.48,19.26,1781.6493333333333
1424,1781.37,19.26,1781.796
1426,1781.74,19.25,1781.7753333333335
1428,1779.76,19.34,1781.6813333333332
1430,1781.8,19.3,1781.618
1434,1780.87,19.22,1781.486666666667
1436,1782.5,19.3,1781.6533333333336
1438,1782.91,19.31,1781.7473333333335
1440,1781.65,19.3,1781.698
1442,1782.61,19.21,1781.8173333333334
